Title,Director,Cast,Genre
Aa Ab Laut Chalen,Rishi Kapoor,"Rajesh Khanna, Akshaye Khanna, Aishwarya Rai, Kader Khan, Jaspal Bhatti, Satish Kaushik, Mousami Chatterji, Himani Shivpuri","Romance, Drama"
Aarzoo,Lawrence D'Souza,"Akshay Kumar, Madhuri Dixit, Saif Ali Khan, Amrish Puri",Drama
Anari No.1,Sandesh Kohli,"Govinda, Raveena Tandon, Simran Bagga, Kader Khan, Satish Shah, Aruna Irani",Comedy
Arjun Pandit,Rahul Rawail,"Sunny Deol, Juhi Chawla, Saurabh Shukla",Action
Baadshah,Abbas-Mustan,"Shahrukh Khan, Twinkle Khanna","Action, Comedy"
Bade Dilwala,Shakeel Noorani,"Sunil Shetty, Priya Gill, Paresh Rawal",Action
Bhopal Express,Mahesh Mathai,"Naseeruddin Shah, Kay Kay Menon, Nethra Raghuraman, Zeenat Aman",Drama
Biwi No.1,David Dhawan,"Salman Khan, Karisma Kapoor, Sushmita Sen, Anil Kapoor, Tabu, Saif Ali Khan",Comedy
Chandaal Aatma,S.R. Pratap,"Aparna, Rakesh Bedi, Sudhir Dalvi",Horror
Chehraa,Gautam Adhikari,"Seema Kapoor, Ayub Khan, Madhoo",
Daag: The Fire,Raj Kanwar,"Sanjay Dutt, Chandrachur Singh, Mahima Chaudhry","Action, Romance"
Dahek,Lateef Binny,"Akshaye Khanna, Sonali Bendre, Danny Denzongpa, Ahmed Khan",Drama
Dil Kya Kare,Prakash Jha,"Ajay Devgan, Kajol, Mahima Chaudhry, Chandrachur Singh",Drama
Dillagi,Sunny Deol,"Sunny Deol, Bobby Deol, Urmila Matondkar, Preity Zinta",Drama
Double Gadbad,,"Navneet Nishan, Baba Sehgal",Comedy
Dracula,Bhooshan Lal,"Sadashiv Amrapurkar, Ashna, Mohan Joshi",Horror
Dulhan Banoo Main Teri,Anoop Kumar,"Faraaz Khan, Deepti Bhatnagar","Romance, Drama"
Gair,Ashok Gaekwad,"Ajay Devgan, Raveena Tandon, Reena Roy, Amrish Puri",Action
Godmother,Vinay Shukla,"Shabana Azmi, Milind Gunaji, Nirmal Pandey","Crime, Drama"
Haseena Maan Jaayegi,David Dhawan,"Govinda, Sanjay Dutt, Karisma Kapoor, Puja Batra",Comedy
Heera Lal Panna Lal,Kawal Sharma,"Mithun Chakraborty, Johnny Lever, Payal Malhotra","Drama, Action, Comedy, Crime"
Hello Brother,Sohail Khan,"Salman Khan, Rani Mukerji, Arbaaz Khan",Comedy
Hindustan Ki Kasam,Veeru Devgan,"Amitabh Bachchan, Ajay Devgan, Manisha Koirala, Sushmita Sen, Prem Chopra","Patriotic, Action"
Hogi Pyaar Ki Jeet,P. Vasu,"Ajay Devgn, Neha, Arshad Warsi",
Hote Hote Pyar Ho Gaya,Firoz Irani,"Jackie Shroff, Kajol, Atul Agnihotri, Ayesha Jhulka",Drama
Hu Tu Tu,Gulzar,"Nana Patekar, Sunil Shetty, Tabu",Drama
Hum Aapke Dil Mein Rehte Hain,Satish Kaushik,"Kajol, Anil Kapoor, Anupam Kher, Johny Lever","Romantic, Drama"
Hum Dil De Chuke Sanam,Sanjay Leela Bhansali,"Salman Khan, Ajay Devgan, Aishwarya Rai",Drama
Hum Saath-Saath Hain: We Stand United,Sooraj R. Barjatya,"Salman Khan, Mohnish Bahl, Tabu, Saif Ali Khan, Karisma Kapoor, Sonali Bendre","Family, Drama"
Hum Tum Pe Marte Hain,Nabh Kumar Raju,"Govinda, Urmila Matondkar","Romance, Drama"
International Khiladi,Umesh Mehra,"Akshay Kumar, Twinkle Khanna, Rajat Bedi","Action, Crime, Drama, Romance"
Jaanam Samjha Karo,Andaleb Sulthapuri,"Salman Khan, Urmila Matondkar, Monica Bedi","Romance, Drama"
Jaanwar,Suneel Darshan,"Akshay Kumar, Karishma Kapoor, Shilpa Shetty, Shakti Kapoor, Ashutosh Rana",Drama
