"Title","Director","Cast","Genre","Sources",
"36 China Town","Abbas-Mustan","Kareena Kapoor, Shahid Kapoor, Upen Patel, Akshaye Khanna, Tanushree Dutta, Isha Koppikar, Priyanka Chopra, Johny Lever, Paresh Rawal, Payal Rohatgi","Thriller, Mystery","",
"Aap Ki Khatir","Dharmesh Darshan","Sunil Shetty, Akshaye Khanna, Dino Morea, Amisha Patel, Priyanka Chopra","Comedy, Romance, Social","",
"Aatma","Deepak Ramsay","Kapil Jhaveri, Neha","Horror","",
"Adharm","","Rahul Dev, Sonali Kulkarni","","",
"Ahista Ahista","","Abhay Deol, Soha Ali Khan","Drama, Romance","",
"Aisa Kyon Hota Hai","","Rati Agnihotri, Amit","","",
"Aksar","Anant Mahadevan","Emraan Hashmi, Dino Morea, Udita Goswami, Tara Sharma","Thriller","",
"Alag","Ashu Trikha","Dia Mirza, Akshay Kapoor","Drama","",
"Anjaan","","Mahek Chahal, Vipul Gupta, Aamir Ali Malik","","",
"Ankahee","Vikram Bhatt","Aftab Shivdasani, Amisha Patel, Esha Deol, Hrishita Bhatt","Drama, Romance, Thriller, Social, Crime","",
"Anthony Kaun Hai?","","Sanjay Dutt, Arshad Warsi, Minissha Lamba, Anusha Dhandekar, Gulshan Grover","Comedy, Thriller","",
"Aparichit","S. Shankar","Vikram, Sadha, Prakash Raj, Yana Gupta","Thriller","",
"Apna Sapna Money Money","Sangeeth Sivan","Sunil Shetty, Ritesh Deshmukh, Shreyas Talpade, Celina Jaitley, Anupam Kher, Koena Mitra, Chunky Pandey, Riya Sen, Jackie Shroff, Rajpal Yadav","Comedy","",
"Aryan - Unbreakable","Abhishek Kapoor","Sohail Khan, Sneha Ullal, Fardeen Khan","Action, Sports, Romance","",
"Baabul","Ravi Chopra","Amitabh Bachchan, Hema Malini, Salman Khan, John Abraham, Rani Mukerji","Drama, Romance, Family","",
"Banaras: A Mystic Love Story","Pankaj Parashar","Urmila Matondkar, Dimple Kapadia, Ashmit Patel, Naseeruddin Shah, Raj Babbar","","",
"Bas Ek Pal","","Juhi Chawla, Urmila Matondkar, Jimmy Shergill, Sanjay Suri","","",
"Being Cyrus","","Saif Ali Khan, Dimple Kapadia, Boman Irani, Naseeruddin Shah","Drama","",
"Bhagam Bhag","Priyadarshan","Akshay Kumar, Govinda (actor), Paresh Rawal, Lara Dutta, Arbaaz Khan, Jackie Shroff, Rajpal Yadav, Tanushree Dutta, Shakti Kapoor","Comedy","",
"Bhoot Unkle","","Jackie Shroff","Comedy","",
"Chand Ke Paar Chalo","","Preeti Jhangiani, Sanjay Narvekar","","",
"Chingaari","Kalpana Lajmi","Sushmita Sen, Mithun Chakraborty, Sanjay Suri","Drama","",
"Chup Chup Ke","Priyadarshan","Kareena Kapoor, Shahid Kapoor, Neha Dhupia, Rajpal Yadav, Sunil Shetty, Paresh Rawal, Anupam Kher","Comedy","",
"Corporate","Madhur Bhandarkar","Bipasha Basu, Kay Kay Menon, Minissha Lamba","Drama, Thriller, Business","",
"Darna Zaroori Hai","Ram Gopal Varma and Sajid Khan","Amitabh Bachchan, Sunil Shetty, Bipasha Basu, Anil Kapoor, Arjun Rampal, Ritesh Deshmukh, Mallika Sherawat, Randeep Hooda, Rajpal Yadav, Sonali Kulkarni, Nisha Kothari","Horror","",
"Darwaaza Bandh Rakho","","Aftab Shivdasani, Manisha Koirala","Comedy, Crime","",
"Deadline: Sirf 24 Ghante","","Irrfan Khan, Konkona Sen Sharma","","",
"Devaki","","Ram Kapur, Perizaad Zorabian, Suman Ranganathan","Drama","",
"Dil Diya Hai","Aaditya Datt","Emraan Hashmi, Ashmit Patel, Geeta Basra","Thriller","",
"Dharti Kahe Pukar Ke","Aslam Sheikh","Ajay Devgan, Manoj Tiwari, Sharbani Mukherjee","Drama","",
"Dhoom 2","Sanjay Gadhvi","Abhishek Bachchan, Hrithik Roshan, Aishwarya Rai, Bipasha Basu, Uday Chopra, Rimi Sen","Thriller, Action, Romance, Musical","",
"Don: The Chase Begins Again","Farhan Akhtar","Shah Rukh Khan, Arjun Rampal, Priyanka Chopra, Kareena Kapoor, Boman Irani, Om Puri","Thriller, Action, Drama","",
"Dor","","Ayesha Takia, Gul Panag, Shreyas Talpade","Drama, Social","",
"Dulha Babu","","","","",
"Eight: The Power of Shani","","Raj Tara, Gulshan Grover","","",
"Ek Main Ek Tum","","","","",
"Family — Ties of Blood","","Amitabh Bachchan, Akshay Kumar, Bhumika Chawla","Drama, Thriller","",
"Fanaa","Kunal Kohli","Kajol, Aamir Khan, Tabu, Kiron Kher, Rishi Kapoor, Shiney Ahuja, Lara Dutta","Drama, Romance, Action, Musical","",
"Fight Club – Members Only","Vikram Chopra","Sunil Shetty, Ritesh Deshmukh, Zayed Khan, Sohail Khan, Aashish Chaudhary, Yash Tonk, Ashmit Patel, Rahul Dev, Dino Morea, Diya Mirza, Neha Dhupia, Amrita Arora","Action, Thriller","",
